1,2161.92,2,3,3.368794326241135
179,2014.3666666666668,467,575,2.6300236406619386
180,2014.3666666666668,470,581,2.6300236406619386
181,2014.3666666666668,473,587,2.6300236406619386
182,2014.3666666666668,475,593,2.6300236406619386
183,2014.3666666666668,478,599,2.6300236406619386
184,2014.3666666666668,481,605,2.6300236406619386
185,2014.3666666666668,483,611,2.6300236406619386
186,2014.3666666666668,486,617,2.6300236406619386
187,2014.3666666666668,488,623,2.6300236406619386
188,2014.3666666666668,491,629,2.6300236406619386
189,2014.3666666666668,493,635,2.6300236406619386
190,2014.3666666666668,496,641,2.6300236406619386
191,2014.3666666666668,499,647,2.6300236406619386
192,2014.3666666666668,501,653,2.6300236406619386
193,2014.3666666666668,504,659,2.6300236406619386
194,2014.3666666666668,507,665,2.6300236406619386
195,2014.3666666666668,509,671,2.6300236406619386
196,2014.3666666666668,512,677,2.6300236406619386
197,2014.3666666666668,514,683,2.6300236406619386
198,2014.3666666666668,517,689,2.6300236406619386
199,2014.3666666666668,520,695,2.6300236406619386
200,2014.3666666666668,523,701,2.6300236406619386
201,2014.3666666666668,525,709,2.6300236406619386
202,2014.3666666666668,528,717,2.6300236406619386
203,2014.3666666666668,531,725,2.6300236406619386
204,2014.3666666666668,533,733,2.6300236406619386
205,2014.3666666666668,536,741,2.6300236406619386
206,2014.3666666666668,538,749,2.6300236406619386
207,2014.3666666666668,540,757,2.6300236406619386
208,2014.3666666666668,543,765,2.6300236406619386
209,2014.3666666666668,545,773,2.6300236406619386
210,2014.3666666666668,548,781,2.6300236406619386
211,2014.3666666666668,550,789,2.6300236406619386
212,2014.3666666666668,553,797,2.6300236406619386
213,2014.3666666666668,555,805,2.6300236406619386
214,2014.3666666666668,558,813,2.6300236406619386
215,2014.3666666666668,560,821,2.6300236406619386
216,2014.3666666666668,563,829,2.6300236406619386
217,2014.3666666666668,566,837,2.6300236406619386
218,2014.3666666666668,568,845,2.6300236406619386
219,2014.3666666666668,571,853,2.6300236406619386
220,2014.3666666666668,574,861,2.6300236406619386
221,2014.3666666666668,576,869,2.6300236406619386
222,2014.3666666666668,578,877,2.6300236406619386
223,2014.3666666666668,581,885,2.6300236406619386
224,2014.3666666666668,583,893,2.6300236406619386
225,2014.3666666666668,585,901,2.6300236406619386
226,2014.3666666666668,588,909,2.6300236406619386
227,2014.3666666666668,590,917,2.6300236406619386
228,2014.3666666666668,592,925,2.6300236406619386
229,2014.3666666666668,595,933,2.6300236406619386
230,2014.3666666666668,597,941,2.6300236406619386
231,2014.3666666666668,600,949,2.6300236406619386
232,2014.3666666666668,603,957,2.6300236406619386
233,2014.3666666666668,605,965,2.6300236406619386
234,2014.3666666666668,607,973,2.6300236406619386
235,2014.3666666666668,610,981,2.6300236406619386
236,2014.3666666666668,612,989,2.6300236406619386
237,2014.3666666666668,615,997,2.6300236406619386
238,2014.3666666666668,617,1005,2.6300236406619386
239,2014.3666666666668,619,1013,2.6300236406619386
240,2014.3666666666668,622,1021,2.6300236406619386
241,2014.3666666666668,624,1029,2.6300236406619386
242,2014.3666666666668,626,1037,2.6300236406619386
243,2014.3666666666668,628,1045,2.6300236406619386
244,2014.3666666666668,631,1053,2.6300236406619386
245,2014.3666666666668,633,1061,2.6300236406619386
246,2014.3666666666668,636,1069,2.6300236406619386
247,2014.3666666666668,638,1077,2.6300236406619386
248,2014.3666666666668,641,1085,2.6300236406619386
249,2014.3666666666668,643,1093,2.6300236406619386
250,2014.3666666666668,645,1101,2.6300236406619386
251,2014.3666666666668,648,1111,2.6300236406619386
252,2014.3666666666668,650,1121,2.6300236406619386
253,2014.3666666666668,653,1131,2.6300236406619386
254,2014.3666666666668,655,1141,2.6300236406619386
255,2014.3666666666668,657,1151,2.6300236406619386
256,2014.3666666666668,660,1161,2.6300236406619386
257,2014.3666666666668,662,1171,2.6300236406619386
258,2014.3666666666668,665,1181,2.6300236406619386
259,2014.3666666666668,667,1191,2.6300236406619386
260,2014.3666666666668,669,1201,2.6300236406619386
261,2014.3666666666668,673,1211,2.6300236406619386
262,2014.3666666666668,675,1221,2.6300236406619386
263,2014.3666666666668,678,1231,2.6300236406619386
264,2014.3666666666668,680,1241,2.6300236406619386
265,2014.3666666666668,682,1251,2.6300236406619386
266,2014.3666666666668,685,1261,2.6300236406619386
267,2014.3666666666668,687,1271,2.6300236406619386
268,2014.3666666666668,690,1281,2.6300236406619386
269,2014.3666666666668,692,1291,2.6300236406619386
270,2014.3666666666668,695,1301,2.6300236406619386
271,2014.3666666666668,698,1311,2.6300236406619386
272,2014.3666666666668,700,1321,2.6300236406619386
273,2014.3666666666668,703,1331,2.6300236406619386
274,2014.3666666666668,705,1341,2.6300236406619386
275,2014.3666666666668,708,1351,2.6300236406619386
276,2014.3666666666668,710,1361,2.6300236406619386
277,2014.3666666666668,713,1371,2.6300236406619386
278,2014.3666666666668,715,1381,2.6300236406619386
279,2014.3666666666668,717,1391,2.6300236406619386
280,2014.3666666666668,720,1401,2.6300236406619386
281,2014.3666666666668,722,1411,2.6300236406619386
282,2014.3666666666668,725,1421,2.6300236406619386
283,2014.3666666666668,727,1431,2.6300236406619386
284,2014.3666666666668,729,1441,2.6300236406619386
285,2014.3666666666668,732,1451,2.6300236406619386
286,2014.3666666666668,735,1461,2.6300236406619386
287,2014.3666666666668,737,1471,2.6300236406619386
288,2014.3666666666668,740,1481,2.6300236406619386
289,2014.3666666666668,742,1491,2.6300236406619386
290,2014.3666666666668,745,1501,2.6300236406619386
291,2014.3666666666668,749,1511,2.6300236406619386
292,2014.3666666666668,752,1521,2.6300236406619386
293,2014.3666666666668,754,1531,2.6300236406619386
294,2014.3666666666668,757,1541,2.6300236406619386
295,2014.3666666666668,759,1551,2.6300236406619386
296,2014.3666666666668,762,1561,2.6300236406619386
297,2014.3666666666668,764,1571,2.6300236406619386
298,2014.3666666666668,767,1581,2.6300236406619386
299,2014.3666666666668,769,1591,2.6300236406619386
300,2014.3666666666668,772,1601,2.6300236406619386
301,2014.3666666666668,774,1613,2.6300236406619386
302,2014.3666666666668,777,1625,2.6300236406619386
303,2014.3666666666668,780,1637,2.6300236406619386
304,2014.3666666666668,782,1649,2.6300236406619386
305,2014.3666666666668,785,1661,2.6300236406619386
306,2014.3666666666668,788,1673,2.6300236406619386
307,2014.3666666666668,790,1685,2.6300236406619386
308,2014.3666666666668,792,1697,2.6300236406619386
309,2014.3666666666668,795,1709,2.6300236406619386
310,2014.3666666666668,797,1721,2.6300236406619386
311,2014.3666666666668,800,1733,2.6300236406619386
312,2014.3666666666668,802,1745,2.6300236406619386
313,2014.3666666666668,805,1757,2.6300236406619386
314,2014.3666666666668,808,1769,2.6300236406619386
315,2014.3666666666668,811,1781,2.6300236406619386
316,2014.3666666666668,813,1793,2.6300236406619386
317,2014.3666666666668,816,1805,2.6300236406619386
318,2014.3666666666668,818,1817,2.6300236406619386
319,2014.3666666666668,821,1829,2.6300236406619386
320,2014.3666666666668,824,1841,2.6300236406619386
321,2014.3666666666668,827,1853,2.6300236406619386
322,2014.3666666666668,829,1865,2.6300236406619386
323,2014.3666666666668,832,1877,2.6300236406619386
324,2014.3666666666668,834,1889,2.6300236406619386
325,2014.3666666666668,836,1901,2.6300236406619386
326,2014.3666666666668,839,1913,2.6300236406619386
327,2014.3666666666668,841,1925,2.6300236406619386
328,2014.3666666666668,844,1937,2.6300236406619386
329,2014.3666666666668,846,1949,2.6300236406619386
330,2014.3666666666668,849,1961,2.6300236406619386
331,2014.3666666666668,851,1973,2.6300236406619386
332,2014.3666666666668,853,1985,2.6300236406619386
333,2014.3666666666668,856,1997,2.6300236406619386
334,2014.3666666666668,858,2009,2.6300236406619386
335,2014.3666666666668,861,2021,2.6300236406619386
336,2014.3666666666668,863,2033,2.6300236406619386
337,2007.5100000000002,865,2045,5.230496453900709
338,2007.5100000000002,868,2057,5.230496453900709
339,2007.5100000000002,870,2069,5.230496453900709
340,2007.5100000000002,873,2081,5.230496453900709
341,2007.5100000000002,875,2093,5.230496453900709
342,2007.5100000000002,878,2105,5.230496453900709
343,2007.5100000000002,880,2117,5.230496453900709
344,2007.5100000000002,883,2129,5.230496453900709
345,2007.5100000000002,885,2141,5.230496453900709
346,2007.5100000000002,887,2153,5.230496453900709
347,2007.5100000000002,890,2165,5.230496453900709
348,2007.5100000000002,893,2177,5.230496453900709
349,2007.5100000000002,896,2189,5.230496453900709
350,2007.5100000000002,898,2201,5.230496453900709
351,2007.5100000000002,900,2215,5.230496453900709
352,2007.5100000000002,903,2229,5.230496453900709
353,2007.5100000000002,905,2243,5.230496453900709
354,2007.5100000000002,908,2257,5.230496453900709
